fecha;sol;tmin;tmax;prec
22/05/2015;10,6;15;30;0
23/05/2015;10,2;16;30;0
24/05/2015;10,8;16;30;0
25/05/2015;10,6;16;31;0
26/05/2015;10,8;17;32;0
27/05/2015;12,2;17;33;0
28/05/2015;13,5;17;33;0
29/05/2015;13,5;18;33;0
30/05/2015;13,5;18;33;0
31/05/2015;13,5;18;33;0
01/06/2015;13,5;19;34;0
02/06/2015;13,2;19;35;0
03/06/2015;13,6;18;36;0
04/06/2015;13,4;18;37;0
05/06/2015;12,9;19;37;0
06/06/2015;11,6;19;37;0
07/06/2015;11,3;19;36;0
08/06/2015;10,9;19;35;0
09/06/2015;8,6;19;32;0
10/06/2015;7,7;18;30;0
11/06/2015;7,9;18;28;0
12/06/2015;7,3;17;27;0
13/06/2015;6,9;16;26;0
14/06/2015;9,6;15;27;0
15/06/2015;11,1;15;29;0
16/06/2015;12,2;16;31;0
17/06/2015;13,1;17;34;0
18/06/2015;14,1;18;36;0
19/06/2015;13,6;19;37;0
20/06/2015;12,9;20;36;0
21/06/2015;13;19;35;0
22/06/2015;13;19;34;0
23/06/2015;13;19;34;0
24/06/2015;13,5;19;35;0
25/06/2015;14,1;19;37;0
26/06/2015;14,1;19;39;0
27/06/2015;14;20;40;0
28/06/2015;13,9;21;39;0
29/06/2015;13,3;21;38;0
30/06/2015;13,2;21;36;0
01/07/2015;13,2;20;35;0
02/07/2015;13;20;35;0
03/07/2015;12,9;21;37;0
04/07/2015;13,4;22;39;0
05/07/2015;13,4;22;40;0
06/07/2015;13,4;23;40;0
07/07/2015;13,6;22;40;0
08/07/2015;13,4;22;39;0
09/07/2015;13,5;21;38;0
10/07/2015;13,6;20;38;0
11/07/2015;13,6;20;38;0
12/07/2015;13,6;20;39;0
13/07/2015;13,8;20;40;0
14/07/2015;13,3;21;41;0
15/07/2015;12,5;22;41;0
16/07/2015;12,5;23;41;0
17/07/2015;12,5;23;41;0
18/07/2015;12,6;24;40;0
19/07/2015;12,9;24;40;0
20/07/2015;13,6;23;40;0
21/07/2015;13,6;23;40;0
22/07/2015;13,6;22;39;0
23/07/2015;13,6;22;39;0
24/07/2015;13,8;21;38;0
25/07/2015;13,7;21;38;0
26/07/2015;13,6;21;39;0
27/07/2015;13,6;22;39;0
28/07/2015;13,6;22;39;0
29/07/2015;13,5;22;38;0
30/07/2015;13,5;22;37;0
31/07/2015;13,4;21;37;0
01/08/2015;13,1;21;36;0
02/08/2015;12,9;21;36;0
03/08/2015;12,8;21;37;0
04/08/2015;12;22;38;0
05/08/2015;11,1;23;38;0
06/08/2015;9,8;23;39;0
07/08/2015;7,6;24;39;0
08/08/2015;6,9;25;38;0
09/08/2015;7;25;38;0
10/08/2015;7,4;23;37;0
11/08/2015;8,7;23;36;0
12/08/2015;10,9;21;36;0
13/08/2015;11,6;20;34;0
14/08/2015;12,2;19;34;0
15/08/2015;12,5;19;33;0
16/08/2015;12,7;19;33;0
17/08/2015;12,4;19;33;0
18/08/2015;12,3;20;35;0
19/08/2015;12,1;21;35;0
20/08/2015;11,2;21;35;0
21/08/2015;10,7;21;34;0
22/08/2015;10,3;21;33;0
23/08/2015;10,3;20;33;0
24/08/2015;10,3;19;33;0
25/08/2015;11,4;18;34;0
26/08/2015;11,8;18;36;0
27/08/2015;11,7;19;38;0
28/08/2015;10,9;21;38;0
29/08/2015;9,5;21;37;0
30/08/2015;9,5;21;36;0
31/08/2015;8,3;21;34;0
01/09/2015;8,5;20;32;0
02/09/2015;9;19;30;0
03/09/2015;8,2;18;28;0
04/09/2015;7,9;17;29;0
05/09/2015;7,7;17;29;0
06/09/2015;7,7;18;30;0,5
07/09/2015;7,9;18;31;0,5
08/09/2015;9,9;18;33;0,5
09/09/2015;10,2;19;33;0
10/09/2015;10,9;18;32;0
11/09/2015;11,1;18;32;0
12/09/2015;10,7;18;31;0
13/09/2015;10,6;17;29;0
14/09/2015;8,4;17;28;0
15/09/2015;8,9;16;27;2,5
16/09/2015;9,1;16;28;2,5
17/09/2015;9,3;16;28;2
18/09/2015;9,2;16;30;0
19/09/2015;10,6;17;32;0
20/09/2015;10,7;18;33;0
21/09/2015;10,6;18;33;0
22/09/2015;10,7;18;33;0
23/09/2015;9,9;18;32;0
24/09/2015;10,4;17;32;0
25/09/2015;10,4;16;32;0
26/09/2015;10;17;32;0
27/09/2015;9,1;17;31;1,5
28/09/2015;9,9;16;31;1,5
29/09/2015;10;16;31;1,5
30/09/2015;9,7;16;31;0
01/10/2015;9;17;30;0
